Language	Standard Code
Punjabi (Panjabi)	pa, pan, [pan, pnb], pan
Pijin	-, -, pis, -
Polish	pl, pol, pol [szl], pol
Pohnpeian (Poapean)	-, pon, pon, poh
Portugese	pt, por, por, por
Quechua (Runasimi)	-, -, que, yum
Ayacucho Quechua (Chanca, Chanka)	-, -, [quy, qxu], qay
Cusco Quechua	-, -, [quz, qve], qcu
Romanian	ro, [rum, ron], ron, rom
Kirundi (Rundi)	rn, run, run, rnd
Russian	ru, rus, rus, rus
Kinyarwanda (Igifumbira)	rw, kin, kin, kin
Sango (Sangho)	sg, sag, [sag, snj], san
Sinhalese (Sinhala)	si, sin, sin, snh
Slovak	sk, [slo, slk], slk, svk
Slovene (Slovenian)	sl, slv, slv, slo
Samoan (Gagana Sãmoa)	sm, smo, smo, sam
Shona	sn, sna, [sna, twl, mxc, twx, ndc], shn
Albanian	sq, [alb, sqi], sqi [aae, aat, aln, als], alb
Sranan Tongo (Surinaams, Taki Taki)	-, srn, srn, sra
Sesotho (Sotho)	st, sot, sot, ses
Swedish	sv, swe, swe, [swe, swv]
Swahili (Kiswahili)	sw, swa, swa [swc, swh, ymk, wmw], swa
Tamil	ta, tam, [tam, oty, ptq], [tml, tsp]
Telugu	te, tel, tel, tel
Thai (Siamese)	th, tha, tha, tha
Tigrinya (Tigrina)	ti, tir, tir, tig
Tagalog	(Filipino)
Tswana (Setswana)	tn, tsn, tsn, tsw
Tonga (Chitonga)	-, -, toi [dov], toz
Tongan	to, ton, ton, tng
Tok Pisin	-, tpi, tpi, tpi
Tsonga (Xitsonga)	ts, tso, tso, tsn
Tatar	tt, tat, tat [sty], [tvo, ttb, tmi]
Tumbuka	-, tum, tum, -
Turkish	tr, tur, tur, tur
Tuvaluan (Tuvalu)	-, tvl, tvl, tvl
Twi (Akan Kasa)	tw [Twi], twi, twi, -
Tahitian (Reo Tahiti)	ty, tah, tah, tah
Tzotzil	-, -, tzo, tzo
Ukrainian	uk, ukr, ukr, ukr
Umbundu (South Umbundu)	-, umb, umb, umb
Urdu	ur, urd, urd, urd
Uzbek	uz, uzb, uzb [uzn, uzs], [uzb, uzn]
Venda (Tshivenda)	ve, ven, ven, ven
Vietnamese	vi, vie, vie, vie
Waray-Waray	-, war, war, wwy
Wallisian ('Uvean)	-, -, wls, wll
Xhosa (isiXhosa)	xh, xho, xho, xho
Yoruba	yo, yor, yor, yor
Yucatec Maya	-, -, yua, yct
Ishtmus/Juchitán Zapotec	-, -, zai, zai
Zulu	zu, zul, zul, [zul, zno, zso]
Kannada	kn, kan, kan, knd
